rebalance_at,next_rebalance_at,portfolio_return,benchmark_return,portfolio_value,benchmark_value,cash_weight,top_actions
2025-12-26T00:00:00+00:00,2026-01-27T00:00:00+00:00,0.0194,0.0075,1.0194,1.0075,0.54,NWG.L:ADD;LLOY.L:ADD;GSK.L:ADD;VOD.L:ADD;0P0000W36K.L:ADD;IUKD.L:HOLD;ISF.L:HOLD;HLN.L:HOLD;0P0001CBJA.L:HOLD;0P0001GZXO.L:WATCH;0P0000RU81.L:WATCH;0P0001FE43.L:WATCH;BA.L:EXIT;ASC.L:EXIT
2026-01-27T00:00:00+00:00,2026-02-25T00:00:00+00:00,0.0152,-0.0034,1.0349,1.0041,0.46,GOOG:BUY;LLOY.L:ADD;GSK.L:ADD;NWG.L:ADD;0P0000W36K.L:ADD;VOD.L:ADD;IUKD.L:ADD;ISF.L:HOLD;HLN.L:HOLD;AAPL:WATCH;ASC.L:WATCH;0P0001CBJA.L:WATCH;0P0001GZXO.L:WATCH;BA.L:WATCH;0P0000RU81.L:WATCH;0P0001FE43.L:WATCH;AMZN:WATCH;NVDA:WATCH;MSFT:WATCH;RGTI:WATCH
2026-02-25T00:00:00+00:00,2026-03-26T00:00:00+00:00,-0.0474,-0.0668,0.9858,0.937,0.4,GSK.L:ADD;VOD.L:ADD;0P0000W36K.L:ADD;BA.L:BUY;LLOY.L:ADD;IUKD.L:ADD;GOOG:ADD;ISF.L:ADD;ASC.L:HOLD;0P0001CBJA.L:HOLD;0P0001GZXO.L:WATCH;AAPL:WATCH;NWG.L:WATCH;NVDA:WATCH;HLN.L:WATCH;0P0000RU81.L:WATCH;0P0001FE43.L:WATCH;AMZN:WATCH;MSFT:WATCH;RGTI:WATCH
